Person Full Name (Letr.),My Title,Jud Experience Pending Status,Jud Experience Pend Sub Type,Jud Experience Active Date,Experience Status Effective Date,Experience Status,Experience Status Reason
Hon. Richard W. Abbe (Ret.),"Associate Justice of the Court of Appeal
Second Appellate District, Division Six",Appointed,"Brown, Jr.",12/27/1982,11/30/1990,Retired,Deferred Retirement
Hon. Richard W. Abbe (Ret.),"Judge of the Superior Court of California, County of Shasta",Appointed,Brown,02/01/1965,12/27/1982,Promoted,Elevated
Hon. J. Augustus Accurso (Ret.),"Judge of the Turlock Justice Court District, Stanislaus County",Appointed,Board of Supv,01/02/1974,01/03/1977,Promoted,Elevated
Hon. J. Augustus Accurso (Ret.),"Judge of the Stanislaus County Municipal Court, Stanislaus County",Appointed,Unknown,01/03/1977,01/20/1994,Retired,Retirement
Hon. Harold J. Ackerman (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Elected,,11/01/1968,07/31/1986,Retired,Retirement
Hon. Harold J. Ackerman (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Brown,12/16/1966,11/01/1968,Promoted,Elevated
Hon. Harry A. Ackley (Ret.),"Judge of the Superior Court of California,
  County of Yolo",Appointed,"Brown, Jr.",02/20/1976,01/06/1991,Retired,Deferred Retirement
Hon. Adrian W. Adams (Ret.),"Judge of the Newhall Municipal Court, Los Angeles County",Appointed,Reagan,01/29/1970,01/29/1990,Retired,Retirement
Hon. G. Dennis Adams,"Judge of the Superior Court of California,
  County of San Diego",Appointed,"Brown, Jr.",03/09/1979,09/14/1995,Transferred,
Hon. G. Dennis Adams,"Judge of the El Cajon Municipal Court, San Diego County",Appointed,"Brown, Jr.",12/16/1975,03/09/1979,Promoted,Elevated
Hon. Thomas R. Adams,"Judge of the Superior Court of California,
  County of Santa Barbara",Appointed,"Brown, Jr.",12/31/1982,12/31/1982,Active Service,
Hon. Herbert J. Adden (Ret.),"Judge of the Whittier Municipal Court, Los Angeles County",Appointed,Reagan,12/04/1968,12/31/1988,Retired,Retirement
Hon. Richard A. Adler (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Elected,,01/07/1985,04/01/2013,Retired,Retirement
Hon. Richard A. Adler (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Elected,,01/05/1981,01/07/1985,Promoted,Elevated
Hon. Nat A. Agliano (Ret.),"Associate Justice of the Court of Appeal
Sixth Appellate District",Appointed,Deukemejian,11/02/1984,04/16/1986,Promoted,Elevated
Hon. Nat A. Agliano (Ret.),"Presiding Justice of the Court of Appeal
Sixth Appellate District",Appointed,Deukemejian,04/16/1986,02/29/1992,Retired,Deferred Retirement
Hon. Nat A. Agliano (Ret.),"Judge of the Superior Court of California,
  County of Monterey",Appointed,Reagan,03/16/1972,11/02/1984,Promoted,Elevated
Hon. Nat A. Agliano (Ret.),"Judge of the Monterey Municipal Court, Monterey County",Appointed,Reagan,10/01/1971,03/16/1972,Promoted,Elevated
Hon. Demetrios P. Agretelis (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,"Brown, Jr.",11/02/1979,11/02/1999,Retired,Retirement
Hon. Charles E. Aguilar (Ret.),"Judge of the Stanislaus County Municipal Court, Stanislaus County",Appointed,"Brown, Jr.",09/30/1977,09/30/1993,Retired,Retirement
Hon. Robert P. Ahern (Ret.),"Judge of the Superior Court of California,
  County of Santa Clara",Appointed,"Brown, Jr.",12/29/1982,03/01/1999,Retired,Retirement
Hon. Robert P. Ahern (Ret.),"Judge of the Santa Clara County Municipal Court, Santa Clara County",Elected,,01/08/1979,12/28/1982,Promoted,Elevated
Hon. David J. Aisenson (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",12/06/1976,09/30/1987,Retired,Retirement
Hon. David J. Aisenson (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Brown,12/09/1966,12/06/1976,Promoted,Elevated
Hon. James A. Albracht (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",01/27/1982,04/05/2002,Retired,Retirement
"Hon. James J. Alfano, Sr. (Ret.)","Judge of the Superior Court of California,
  County of Orange",Appointed,"Brown, Jr.",11/15/1982,01/05/1997,Retired,Retirement
"Hon. James J. Alfano, Sr. (Ret.)","Judge of the North Orange County Municipal Court, Orange County",Appointed,"Brown, Jr.",04/22/1977,11/15/1982,Promoted,Elevated
Hon. Bruce F. Allen (Ret.),"Judge of the Superior Court of California,
  County of Santa Clara",Elected,,01/01/1967,01/05/1985,Retired,Retirement
Hon. Clifton L. Allen (Ret.),"Judge of the Superior Court of California,
  County of San Bernardino",Appointed,Reagan,04/30/1973,05/31/1990,Retired,Deferred Retirement
Hon. Clifton L. Allen (Ret.),"Judge of the San Bernardino County Municipal Court, San Bernardino County",Appointed,Reagan,04/24/1970,04/30/1973,Promoted,Elevated
Hon. David L. Allen (Ret.),"Judge of the Superior Court of California,
  County of Tulare",Appointed,"Brown, Jr.",04/17/1978,03/31/1992,Retired,Retirement
Hon. David L. Allen (Ret.),"Judge of the Visalia Municipal Court District, Tulare County",Appointed,Reagan,03/09/1972,04/17/1978,Promoted,Elevated
